Connected Component     pixels
         1                            16
         2                            16
         3                            16
         4                            2
         5                            42
         6                            380
         7                            12
         8                            1
         9                            2
        10                            20
        11                            90
        12                            42
        13                            13
        14                            1
        15                            2
        16                            1
        17                            144
        18                            2
        19                            23
        20                            2
        21                            100
        22                            81
        23                            16
        24                            12
        25                            100
        26                            24
        27                            16
        28                            49
        29                            400
        30                            1
        31                            24
        32                            144
        33                            1
        34                            2
        35                            49
        36                            2
        37                            1
        38                            16
        39                            16
        40                            144
        41                            2
        42                            16
        43                            42
        44                            144
        45                            16
        46                            16
        47                            81
        48                            81
        49                            2
        50                            7
        51                            1
        52                            16
        53                            16
        54                            2
        55                            1
        56                            2
        57                            42
        58                            1
        59                            16
        60                            1
        61                            90
        62                            1
        63                            36
        64                            144
        65                            100
        66                            50
        67                            1
        68                            2
        69                            2
        70                            2
        71                            2
        72                            2
        73                            144
        74                            24
        75                            1
        76                            16
        77                            42
        78                            42
        79                            90
        80                            81
        81                            90
        82                            16
        83                            2
        84                            16
        85                            42
        86                            144
        87                            16
        88                            20
        89                            24
        90                            400
        91                            16
        92                            16
        93                            2
        94                            16
        95                            1
        96                            49
        97                            1
        98                            2
        99                            16
        100                            16
        101                            2
        102                            1
        103                            2
        104                            156
        105                            16
        106                            16
        107                            20
        108                            81
        109                            49
        110                            16
        111                            2
        112                            90
        113                            2
        114                            1
        115                            2
        116                            16
        117                            90
        118                            1
        119                            81
        120                            6
